https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ADA,Volume BRL,tradecount
1676073600000,2023-02-11,ADABRL,1.879,1.947,1.876,1.94,189256.2,360961.5864,874
1675987200000,2023-02-10,ADABRL,1.92,1.935,1.866,1.884,807825.3,1540191.9699,1629
1675900800000,2023-02-09,ADABRL,2.061,2.064,1.88,1.92,1128014.8,2238543.6024,2205
1675814400000,2023-02-08,ADABRL,2.075,2.092,2.026,2.06,575817.3,1189800.3348,1532
1675728000000,2023-02-07,ADABRL,1.981,2.078,1.979,2.075,804501.6,1630028.4371,1888
1675641600000,2023-02-06,ADABRL,2.04,2.092,1.969,1.981,636116.4,1289342.2128,1701
1675555200000,2023-02-05,ADABRL,2.063,2.074,1.985,2.04,540601.5,1093368.6324,1568
1675468800000,2023-02-04,ADABRL,2.078,2.093,2.05,2.063,448327.0,929491.6172,1459
1675382400000,2023-02-03,ADABRL,2.026,2.093,2.015,2.079,573747.5,1181364.705,1871
1675296000000,2023-02-02,ADABRL,2.024,2.091,1.991,2.022,909329.4,1858433.1603,2600
1675209600000,2023-02-01,ADABRL,1.991,2.042,1.906,2.019,911730.4,1792424.6524,2208
1675123200000,2023-01-31,ADABRL,1.915,2.047,1.896,1.993,623699.8,1230407.2109,1659
1675036800000,2023-01-30,ADABRL,2.032,2.038,1.885,1.915,867743.7,1684097.1063,1906
1674950400000,2023-01-29,ADABRL,1.962,2.044,1.938,2.037,615870.1,1233418.9922,1425
1674864000000,2023-01-28,ADABRL,2.005,2.045,1.943,1.962,579657.7,1152763.9267,1393
1674777600000,2023-01-27,ADABRL,1.942,2.007,1.885,2.002,654180.2,1270769.3872,1529
1674691200000,2023-01-26,ADABRL,1.919,1.991,1.902,1.939,720056.9,1399416.1607,1678
1674604800000,2023-01-25,ADABRL,1.858,1.937,1.798,1.91,651778.7,1206185.9366,1659
1674518400000,2023-01-24,ADABRL,1.957,1.995,1.845,1.86,738632.2,1429426.9216,1668
1674432000000,2023-01-23,ADABRL,1.965,2.0,1.926,1.958,760460.8,1490098.5527,1806
1674345600000,2023-01-22,ADABRL,1.923,2.013,1.895,1.966,1148327.3,2270354.0065,2197
1674259200000,2023-01-21,ADABRL,1.9,1.987,1.856,1.925,791635.2,1520245.5745,2162
1674172800000,2023-01-20,ADABRL,1.759,1.904,1.737,1.9,711860.9,1294264.2057,1900
1674086400000,2023-01-19,ADABRL,1.695,1.779,1.695,1.762,418233.6,728086.7633,1232
1674000000000,2023-01-18,ADABRL,1.781,1.814,1.674,1.698,920386.0,1608554.5581,1886
1673913600000,2023-01-17,ADABRL,1.81,1.84,1.775,1.778,443103.7,800275.8444,1212
1673827200000,2023-01-16,ADABRL,1.803,1.862,1.744,1.811,562749.4,1017836.8988,1558
1673740800000,2023-01-15,ADABRL,1.809,1.817,1.738,1.803,534268.5,949234.1748,1331
1673654400000,2023-01-14,ADABRL,1.775,1.885,1.701,1.809,1466577.5,2643856.825,3233
1673568000000,2023-01-13,ADABRL,1.706,1.798,1.67,1.776,512251.6,880152.8213,1558
1673481600000,2023-01-12,ADABRL,1.684,1.73,1.646,1.705,726742.7,1227130.3709,1772
1673395200000,2023-01-11,ADABRL,1.689,1.692,1.615,1.684,1233453.8,2040694.4375,1565
1673308800000,2023-01-10,ADABRL,1.675,1.703,1.623,1.689,633849.7,1059966.9863,1559
1673222400000,2023-01-09,ADABRL,1.583,1.832,1.574,1.677,2917651.3,4994221.9057,3929
1673136000000,2023-01-08,ADABRL,1.469,1.588,1.453,1.579,1512786.2,2320034.7312,1524
1673049600000,2023-01-07,ADABRL,1.471,1.479,1.446,1.465,158525.5,231435.8471,611
1672963200000,2023-01-06,ADABRL,1.448,1.491,1.434,1.472,806251.3,1174724.5825,1407
1672876800000,2023-01-05,ADABRL,1.454,1.469,1.425,1.449,425041.8,613958.4118,982
1672790400000,2023-01-04,ADABRL,1.371,1.475,1.36,1.453,719015.3,1030803.3353,1601
1672704000000,2023-01-03,ADABRL,1.35,1.372,1.339,1.369,299072.8,405557.4518,888
1672617600000,2023-01-02,ADABRL,1.326,1.365,1.311,1.35,405481.6,546679.4788,899
1672531200000,2023-01-01,ADABRL,1.304,1.327,1.297,1.324,148411.9,195381.6551,334
1672444800000,2022-12-31,ADABRL,1.312,1.341,1.305,1.306,201771.9,265952.0142,494
1672358400000,2022-12-30,ADABRL,1.297,1.317,1.273,1.313,204832.1,265099.7798,919
1672272000000,2022-12-29,ADABRL,1.317,1.317,1.271,1.295,335163.3,434104.4984,1293
1672185600000,2022-12-28,ADABRL,1.379,1.381,1.315,1.318,282991.8,377727.3917,902
1672099200000,2022-12-27,ADABRL,1.388,1.393,1.363,1.379,188428.8,259718.7697,684
1672012800000,2022-12-26,ADABRL,1.343,1.39,1.337,1.389,210995.2,287546.1165,768
1671926400000,2022-12-25,ADABRL,1.342,1.346,1.324,1.343,113091.4,150862.8545,349
1671840000000,2022-12-24,ADABRL,1.345,1.347,1.331,1.342,91715.4,122837.3474,477
1671753600000,2022-12-23,ADABRL,1.34,1.375,1.328,1.345,440006.3,593901.1577,1225
1671667200000,2022-12-22,ADABRL,1.328,1.343,1.285,1.341,346970.0,458012.4756,968
1671580800000,2022-12-21,ADABRL,1.358,1.36,1.3,1.327,310668.7,411706.134,1005
1671494400000,2022-12-20,ADABRL,1.346,1.378,1.338,1.36,377835.5,514304.062,1011
1671408000000,2022-12-19,ADABRL,1.41,1.427,1.324,1.346,1076218.1,1497119.0073,1472
1671321600000,2022-12-18,ADABRL,1.419,1.436,1.395,1.41,176552.9,249646.3026,920
1671235200000,2022-12-17,ADABRL,1.403,1.42,1.374,1.414,338501.3,473322.7364,1492
1671148800000,2022-12-16,ADABRL,1.595,1.596,1.36,1.403,1230343.8,1828653.4023,2144
1671062400000,2022-12-15,ADABRL,1.617,1.618,1.577,1.592,358395.1,572064.612,896
