https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BRL,tradecount
1691539200000,2023-08-09,XRPBRL,3.146,3.276,3.116,3.169,395250.0,1261964.086,1990
1691452800000,2023-08-08,XRPBRL,3.059,3.172,3.009,3.153,322388.0,999709.945,2122
1691366400000,2023-08-07,XRPBRL,3.057,3.083,2.947,3.061,345993.0,1045682.783,2139
1691280000000,2023-08-06,XRPBRL,3.086,3.127,3.047,3.059,167728.0,518401.124,1475
1691193600000,2023-08-05,XRPBRL,3.122,3.122,2.994,3.083,316971.0,969443.059,1960
1691107200000,2023-08-04,XRPBRL,3.26,3.285,3.071,3.122,361698.0,1153598.431,2010
1691020800000,2023-08-03,XRPBRL,3.314,3.326,3.169,3.267,488289.0,1591328.763,2099
1690934400000,2023-08-02,XRPBRL,3.398,3.405,3.276,3.316,329086.0,1098479.39,1613
1690848000000,2023-08-01,XRPBRL,3.323,3.4,3.23,3.398,575976.0,1915002.78,2262
1690761600000,2023-07-31,XRPBRL,3.372,3.421,3.266,3.324,722099.0,2415044.581,2340
1690675200000,2023-07-30,XRPBRL,3.398,3.505,3.265,3.373,235284.0,799791.627,1374
1690588800000,2023-07-29,XRPBRL,3.404,3.418,3.364,3.402,171685.0,582885.675,1094
1690502400000,2023-07-28,XRPBRL,3.406,3.427,3.359,3.401,280739.0,953303.645,1462
1690416000000,2023-07-27,XRPBRL,3.41,3.483,3.362,3.408,419487.0,1430091.4,1923
1690329600000,2023-07-26,XRPBRL,3.389,3.489,3.316,3.422,504974.0,1711868.121,2521
1690243200000,2023-07-25,XRPBRL,3.349,3.422,3.22,3.391,451106.0,1503606.392,2303
1690156800000,2023-07-24,XRPBRL,3.564,3.585,3.254,3.352,660703.0,2227845.612,2777
1690070400000,2023-07-23,XRPBRL,3.537,3.62,3.453,3.563,279071.0,990314.871,1545
1689984000000,2023-07-22,XRPBRL,3.709,3.752,3.482,3.536,1405063.0,5082311.003,2736
1689897600000,2023-07-21,XRPBRL,3.829,3.85,3.676,3.715,587131.0,2196542.339,2553
1689811200000,2023-07-20,XRPBRL,3.956,4.09,3.725,3.829,1003090.0,3930618.689,4117
1689724800000,2023-07-19,XRPBRL,3.75,4.109,3.719,3.956,1276275.0,4982873.375,4272
1689638400000,2023-07-18,XRPBRL,3.564,3.782,3.535,3.758,604560.0,2212008.287,2349
1689552000000,2023-07-17,XRPBRL,3.612,3.715,3.463,3.565,561812.0,2006844.757,2068
1689465600000,2023-07-16,XRPBRL,3.45,3.821,3.407,3.614,541018.0,1965324.377,2033
1689379200000,2023-07-15,XRPBRL,3.474,3.555,3.347,3.455,499730.0,1737766.15,1958
1689292800000,2023-07-14,XRPBRL,3.948,3.96,3.157,3.48,1518610.0,5432891.759,6098
1689206400000,2023-07-13,XRPBRL,2.287,4.47,2.28,3.921,6553777.0,21475423.076,20869
1689120000000,2023-07-12,XRPBRL,2.323,2.325,2.256,2.287,183378.0,418919.175,597
1689033600000,2023-07-11,XRPBRL,2.336,2.34,2.303,2.322,125659.0,291531.327,541
1688947200000,2023-07-10,XRPBRL,2.304,2.349,2.281,2.337,192417.0,445781.606,733
1688860800000,2023-07-09,XRPBRL,2.31,2.32,2.297,2.304,75884.0,175239.766,374
1688774400000,2023-07-08,XRPBRL,2.299,2.333,2.28,2.314,78840.0,181455.512,463
1688688000000,2023-07-07,XRPBRL,2.273,2.327,2.261,2.299,142593.0,326693.754,654
1688601600000,2023-07-06,XRPBRL,2.321,2.345,2.272,2.275,169126.0,390744.205,878
1688515200000,2023-07-05,XRPBRL,2.369,2.39,2.293,2.325,336721.0,785545.685,1036
1688428800000,2023-07-04,XRPBRL,2.353,2.386,2.336,2.371,275227.0,648435.443,989
1688342400000,2023-07-03,XRPBRL,2.339,2.367,2.307,2.352,391268.0,913274.08,1075
1688256000000,2023-07-02,XRPBRL,2.282,2.394,2.267,2.338,290151.0,676534.859,861
1688169600000,2023-07-01,XRPBRL,2.271,2.293,2.239,2.284,91490.0,207902.256,521
1688083200000,2023-06-30,XRPBRL,2.315,2.345,2.189,2.279,386253.0,883260.153,1207
1687996800000,2023-06-29,XRPBRL,2.27,2.325,2.255,2.315,156566.0,359488.091,664
1687910400000,2023-06-28,XRPBRL,2.339,2.339,2.2,2.272,199216.0,454487.0,808
1687824000000,2023-06-27,XRPBRL,2.298,2.343,2.285,2.342,116135.0,268733.984,726
1687737600000,2023-06-26,XRPBRL,2.363,2.366,2.268,2.3,206704.0,476396.289,865
1687651200000,2023-06-25,XRPBRL,2.336,2.396,2.321,2.364,93136.0,219402.61,454
1687564800000,2023-06-24,XRPBRL,2.38,2.383,2.309,2.339,107071.0,251299.659,687
1687478400000,2023-06-23,XRPBRL,2.36,2.414,2.33,2.389,182644.0,434487.92,969
