https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume BRL,tradecount
1695168000000,2023-09-20,BTCBRL,133259.0,134042.0,131301.0,132951.0,110.79301,14690173.49449,12789
1695081600000,2023-09-19,BTCBRL,130800.0,134300.0,130395.0,133233.0,145.37407,19293223.75163,12382
1694995200000,2023-09-18,BTCBRL,130039.0,134042.0,129433.0,130866.0,190.80972,25153944.91062,16905
1694908800000,2023-09-17,BTCBRL,130265.0,130709.0,129500.0,130044.0,37.28575,4850090.81183,5295
1694822400000,2023-09-16,BTCBRL,130196.0,130860.0,129419.0,130250.0,59.90729,7794108.10173,7734
1694736000000,2023-09-15,BTCBRL,130210.0,131377.0,128354.0,130132.0,117.11036,15169507.61475,12089
1694649600000,2023-09-14,BTCBRL,129818.0,131518.0,129200.0,130206.0,95.71692,12479209.06427,12010
1694563200000,2023-09-13,BTCBRL,128519.0,130499.0,128032.0,129810.0,99.31619,12860884.96518,11521
1694476800000,2023-09-12,BTCBRL,124687.0,131770.0,124416.0,128497.0,193.65535,24923418.64123,20426
1694390400000,2023-09-11,BTCBRL,129534.0,129958.0,123554.0,124695.0,193.5671,24351932.2512,17970
1694304000000,2023-09-10,BTCBRL,130010.0,130300.0,128646.0,129543.0,59.32152,7689851.25252,7962
1694217600000,2023-09-09,BTCBRL,129787.0,130211.0,129291.0,130008.0,42.84108,5556521.29286,7223
1694131200000,2023-09-08,BTCBRL,131350.0,132136.0,128544.0,129786.0,152.3535,19744005.19342,11265
1694044800000,2023-09-07,BTCBRL,128569.0,132185.0,128231.0,131307.0,111.52333,14453002.72987,12269
1693958400000,2023-09-06,BTCBRL,128574.0,129998.0,127000.0,128527.0,99.11673,12726299.22739,13257
1693872000000,2023-09-05,BTCBRL,128086.0,129319.0,127000.0,128574.0,139.57641,17909798.50196,12384
1693785600000,2023-09-04,BTCBRL,129585.0,130037.0,127220.0,128078.0,100.38884,12891324.03809,10963
1693699200000,2023-09-03,BTCBRL,128830.0,130396.0,128647.0,129581.0,38.97284,5040527.58445,6154
1693612800000,2023-09-02,BTCBRL,128266.0,129571.0,128146.0,128818.0,58.57083,7541931.76996,8354
1693526400000,2023-09-01,BTCBRL,129234.0,130021.0,125840.0,128277.0,179.29,22970595.34186,18749
1693440000000,2023-08-31,BTCBRL,133899.0,135079.0,128128.0,129220.0,186.08098,24543396.47605,15431
1693353600000,2023-08-30,BTCBRL,135354.0,135654.0,132205.0,133900.0,147.93432,19758464.7163,14028
1693267200000,2023-08-29,BTCBRL,127980.0,137683.0,126960.0,135390.0,253.44532,33869489.91869,21117
1693180800000,2023-08-28,BTCBRL,128245.0,129107.0,127024.0,127952.0,111.49861,14261702.88307,8999
1693094400000,2023-08-27,BTCBRL,127873.0,128800.0,127703.0,128250.0,38.38406,4926618.22286,4606
1693008000000,2023-08-26,BTCBRL,127709.0,128181.0,127353.0,127872.0,53.80434,6879329.35563,6300
1692921600000,2023-08-25,BTCBRL,128350.0,128673.0,126537.0,127700.0,151.68321,19345786.30695,10933
1692835200000,2023-08-24,BTCBRL,129496.0,130075.0,127000.0,128336.0,154.44195,19808882.11734,11407
1692748800000,2023-08-23,BTCBRL,129309.0,130803.0,127814.0,129514.0,174.16333,22493653.43578,13181
