Unix,Date,Symbol,Open,High,Low,Close,Volume AXS,Volume BRL,tradecount
1680912000000,2023-04-08,AXSBRL,44.37,44.69,43.17,43.46,848.06,37286.4017,109
1680825600000,2023-04-07,AXSBRL,43.35,45.5,43.33,44.78,1692.04,75087.7097,207
1680739200000,2023-04-06,AXSBRL,44.14,44.47,42.88,43.37,2696.35,117103.9289,206
1680652800000,2023-04-05,AXSBRL,42.95,44.46,42.47,44.09,1654.77,71825.4978,215
1680566400000,2023-04-04,AXSBRL,42.13,43.47,41.67,43.18,965.39,41318.5429,187
1680480000000,2023-04-03,AXSBRL,42.47,43.5,41.33,42.1,1518.68,64256.2223,189
1680393600000,2023-04-02,AXSBRL,43.59,43.94,42.02,42.44,978.64,41775.0102,109
1680307200000,2023-04-01,AXSBRL,42.91,43.59,42.43,43.59,548.06,23504.8337,113
1680220800000,2023-03-31,AXSBRL,42.5,43.1,41.65,42.85,1175.07,49820.8955,149
1680134400000,2023-03-30,AXSBRL,44.01,44.25,41.8,42.51,2867.11,123295.7875,241
1680048000000,2023-03-29,AXSBRL,42.9,44.52,42.74,43.9,1784.82,78111.6686,203
1679961600000,2023-03-28,AXSBRL,42.21,43.29,41.61,42.95,1953.11,82896.0974,191
1679875200000,2023-03-27,AXSBRL,44.59,44.59,40.01,42.36,2976.82,126426.2558,271
1679788800000,2023-03-26,AXSBRL,43.58,44.96,43.3,44.54,1464.8,64927.2026,141
1679702400000,2023-03-25,AXSBRL,44.06,45.67,43.31,43.63,4430.1,199021.7147,224
1679616000000,2023-03-24,AXSBRL,46.18,46.21,43.0,44.07,3308.83,146964.4457,250
1679529600000,2023-03-23,AXSBRL,43.73,46.75,43.6,46.15,4621.17,208574.7068,211
