Unix,Date,Symbol,Open,High,Low,Close,Volume FIS,Volume BRL,tradecount
1683072000000,2023-05-03,FISBRL,2.159,2.202,1.984,2.119,79755.6,168819.2541,180
1682985600000,2023-05-02,FISBRL,2.137,2.21,2.12,2.176,16704.2,36335.5096,55
1682899200000,2023-05-01,FISBRL,2.204,2.204,2.101,2.137,37565.2,81907.248,92
1682812800000,2023-04-30,FISBRL,2.266,2.287,2.181,2.216,82697.5,185907.8569,236
1682726400000,2023-04-29,FISBRL,2.318,2.346,2.266,2.266,159398.6,365362.5178,205
1682640000000,2023-04-28,FISBRL,2.267,2.35,2.266,2.319,251504.1,576005.2855,559
1682553600000,2023-04-27,FISBRL,2.251,2.314,2.201,2.269,66872.3,150185.8993,146
1682467200000,2023-04-26,FISBRL,2.3,2.35,2.128,2.231,19191.6,43118.8024,182
1682380800000,2023-04-25,FISBRL,2.32,2.32,2.122,2.288,14832.6,33181.8277,140
1682294400000,2023-04-24,FISBRL,2.296,2.358,2.25,2.32,27700.6,63460.1182,126
1682208000000,2023-04-23,FISBRL,2.399,2.498,2.25,2.296,173725.4,419806.271,303
1682121600000,2023-04-22,FISBRL,2.315,2.439,2.293,2.399,34894.0,82575.0781,81
1682035200000,2023-04-21,FISBRL,2.469,2.528,2.256,2.327,71037.3,170870.4467,252
1681948800000,2023-04-20,FISBRL,2.63,2.689,2.436,2.47,46876.1,119895.9024,279
1681862400000,2023-04-19,FISBRL,2.842,2.855,2.62,2.621,136759.9,367485.0897,373
1681776000000,2023-04-18,FISBRL,2.751,2.91,2.741,2.838,118151.8,341642.0544,383
1681689600000,2023-04-17,FISBRL,2.847,2.847,2.7,2.749,44594.0,123512.4018,265
1681603200000,2023-04-16,FISBRL,2.814,2.908,2.81,2.85,13165.1,37574.358,118
1681516800000,2023-04-15,FISBRL,2.76,2.89,2.724,2.842,41046.8,115882.7009,229
1681430400000,2023-04-14,FISBRL,2.743,2.931,2.676,2.787,86035.1,243697.9145,352
1681344000000,2023-04-13,FISBRL,2.65,2.76,2.616,2.718,48409.7,128648.9922,220
1681257600000,2023-04-12,FISBRL,2.782,2.782,2.65,2.65,308717.6,819080.1134,705
1681171200000,2023-04-11,FISBRL,2.899,2.899,2.768,2.768,36605.4,103537.7765,209
1681084800000,2023-04-10,FISBRL,2.831,2.943,2.796,2.9,35050.0,100771.7686,219
1680998400000,2023-04-09,FISBRL,2.847,2.876,2.72,2.821,48713.8,138521.6922,178
1680912000000,2023-04-08,FISBRL,2.762,2.91,2.741,2.813,42602.0,119815.1696,235
1680825600000,2023-04-07,FISBRL,2.842,2.865,2.742,2.78,20575.2,57209.3982,125
1680739200000,2023-04-06,FISBRL,2.902,2.902,2.787,2.84,17315.2,48807.1321,111
1680652800000,2023-04-05,FISBRL,2.805,3.15,2.8,2.888,415843.7,1271662.4674,1497
1680566400000,2023-04-04,FISBRL,2.705,2.868,2.691,2.79,45635.3,127037.2922,216
1680480000000,2023-04-03,FISBRL,2.701,2.772,2.614,2.705,25475.1,68742.4969,151
