Unix,Date,Symbol,Open,High,Low,Close,Volume WIN,Volume BRL,tradecount
1696032000000,2023-09-30,WINBRL,0.0003184,0.0003201,0.0003127,0.0003151,182192754.0,57601.8496274,316
1695945600000,2023-09-29,WINBRL,0.0003101,0.0003225,0.0003081,0.000319,1248660288.0,395978.8890763,1169
1695859200000,2023-09-28,WINBRL,0.0003078,0.0003118,0.000304,0.0003116,566905470.0,174760.816455,593
1695772800000,2023-09-27,WINBRL,0.0003055,0.0003123,0.000304,0.0003082,171242321.0,52727.9160264,516
1695686400000,2023-09-26,WINBRL,0.0003043,0.000308,0.0003011,0.0003076,61339224.0,18665.2098144,327
1695600000000,2023-09-25,WINBRL,0.0003032,0.0003066,0.0003005,0.0003028,17188378.0,5212.664234,122
1695513600000,2023-09-24,WINBRL,0.0003043,0.000307,0.0003011,0.0003011,35400767.0,10755.4389534,144
1695427200000,2023-09-23,WINBRL,0.0003023,0.0003106,0.0002993,0.000306,192461569.0,58847.8289235,460
1695340800000,2023-09-22,WINBRL,0.0003006,0.0003059,0.0002973,0.0003009,244966834.0,73881.1668142,390
1695254400000,2023-09-21,WINBRL,0.000305,0.0003058,0.0002969,0.0002994,102677525.0,30924.2624685,327
1695168000000,2023-09-20,WINBRL,0.0003073,0.0003096,0.0003015,0.0003029,206228186.0,62813.4078123,423
1695081600000,2023-09-19,WINBRL,0.0003014,0.0003099,0.0003002,0.0003082,66121933.0,20216.7994993,182
1694995200000,2023-09-18,WINBRL,0.0002983,0.0003039,0.0002952,0.0003002,218883160.0,65590.3988079,520
1694908800000,2023-09-17,WINBRL,0.0003013,0.0003013,0.0002953,0.000299,43047647.0,12880.1036368,243
1694822400000,2023-09-16,WINBRL,0.000301,0.000303,0.0002971,0.0003011,81119575.0,24407.2350857,324
1694736000000,2023-09-15,WINBRL,0.000299,0.000301,0.000295,0.000301,109826191.0,32710.0140842,360
1694649600000,2023-09-14,WINBRL,0.0002971,0.0003013,0.0002946,0.0002976,198202731.0,59085.2788356,475
1694563200000,2023-09-13,WINBRL,0.0002976,0.0003009,0.000295,0.0002971,245433432.0,73134.4487493,480
1694476800000,2023-09-12,WINBRL,0.0002979,0.0003145,0.0002961,0.0002976,327035460.0,98804.0623861,644
1694390400000,2023-09-11,WINBRL,0.0003079,0.0003079,0.000295,0.0002978,100406563.0,30053.6653082,367
1694304000000,2023-09-10,WINBRL,0.0003136,0.000315,0.0003051,0.0003067,83073280.0,25736.3249457,159
1694217600000,2023-09-09,WINBRL,0.000311,0.0003164,0.0003076,0.0003164,60288080.0,18692.3866606,156
1694131200000,2023-09-08,WINBRL,0.0003118,0.0003143,0.0003051,0.0003087,197042051.0,61048.6761718,314
1694044800000,2023-09-07,WINBRL,0.0003092,0.0003129,0.0003053,0.000311,164486914.0,50869.3474606,399
1693958400000,2023-09-06,WINBRL,0.0003055,0.0003093,0.000303,0.0003082,171067318.0,52350.0361716,586
1693872000000,2023-09-05,WINBRL,0.0003002,0.0003068,0.0003001,0.0003041,175264008.0,53352.4112834,507
1693785600000,2023-09-04,WINBRL,0.0003029,0.0003062,0.0003,0.0003026,71466533.0,21572.8812633,334
1693699200000,2023-09-03,WINBRL,0.000307,0.000308,0.0003028,0.0003038,35141339.0,10742.8085727,134
1693612800000,2023-09-02,WINBRL,0.000303,0.0003093,0.000302,0.000305,221220594.0,67767.2006168,310
1693526400000,2023-09-01,WINBRL,0.0003105,0.0003132,0.0003013,0.000303,195723398.0,60058.3933657,620
1693440000000,2023-08-31,WINBRL,0.0003064,0.0003115,0.000303,0.0003105,246485421.0,75580.9734015,590
1693353600000,2023-08-30,WINBRL,0.000309,0.0003098,0.0003028,0.0003048,109932964.0,33568.6280308,343
1693267200000,2023-08-29,WINBRL,0.000307,0.0003125,0.0003028,0.0003097,234999459.0,72624.5604365,377
1693180800000,2023-08-28,WINBRL,0.0003085,0.000309,0.0003031,0.0003044,159114069.0,48764.9401121,297
1693094400000,2023-08-27,WINBRL,0.0003044,0.00031,0.0003029,0.0003085,52170500.0,16006.0972922,280
1693008000000,2023-08-26,WINBRL,0.000304,0.0003115,0.0003028,0.0003042,121286233.0,37222.7972539,363
1692921600000,2023-08-25,WINBRL,0.0003042,0.0003061,0.0003011,0.0003039,61766933.0,18759.7466799,282
1692835200000,2023-08-24,WINBRL,0.00031,0.0003126,0.0003029,0.0003029,33673074.0,10388.2647793,219
1692748800000,2023-08-23,WINBRL,0.000311,0.0003156,0.0003088,0.0003117,27078234.0,8437.5411707,154
1692662400000,2023-08-22,WINBRL,0.0003124,0.000315,0.0003052,0.0003091,20546034.0,6370.608568,129
1692576000000,2023-08-21,WINBRL,0.0003224,0.0003228,0.0003094,0.0003134,139208258.0,44393.336139,156
1692489600000,2023-08-20,WINBRL,0.000318,0.000324,0.0003146,0.0003224,20826435.0,6654.1743683,136
1692403200000,2023-08-19,WINBRL,0.000313,0.0003182,0.0003097,0.0003146,25700180.0,8084.9580001,140
1692316800000,2023-08-18,WINBRL,0.000311,0.0003164,0.0003064,0.0003098,57753705.0,18003.8387012,161
1692230400000,2023-08-17,WINBRL,0.00032,0.000324,0.0003072,0.0003112,214037886.0,68500.8863601,226
1692144000000,2023-08-16,WINBRL,0.000336,0.000337,0.000318,0.00032,103381434.0,34036.638725,250
1692057600000,2023-08-15,WINBRL,0.000336,0.000342,0.000333,0.000335,210919302.0,70973.351089,262
1691971200000,2023-08-14,WINBRL,0.000333,0.000339,0.00033,0.000336,31236616.0,10463.331439,172
1691884800000,2023-08-13,WINBRL,0.000333,0.000335,0.000329,0.00033,19693663.0,6537.937506,140
1691798400000,2023-08-12,WINBRL,0.00033,0.000335,0.000328,0.000333,35657744.0,11816.329749,166
1691712000000,2023-08-11,WINBRL,0.000331,0.000332,0.000327,0.000329,30749383.0,10129.365836,192
1691625600000,2023-08-10,WINBRL,0.00033,0.000332,0.000325,0.000331,105037208.0,34572.398446,270
1691539200000,2023-08-09,WINBRL,0.000331,0.000331,0.000325,0.00033,53300928.0,17508.684734,182
1691452800000,2023-08-08,WINBRL,0.000325,0.000332,0.000322,0.000329,52430340.0,17191.379587,213
1691366400000,2023-08-07,WINBRL,0.000326,0.000331,0.000325,0.000327,42813208.0,14030.585942,155
1691280000000,2023-08-06,WINBRL,0.000332,0.000337,0.000326,0.000329,49773166.0,16469.735294,199
1691193600000,2023-08-05,WINBRL,0.00033,0.000334,0.000327,0.000332,47949373.0,15829.071286,204
1691107200000,2023-08-04,WINBRL,0.000333,0.000335,0.000326,0.000331,97742981.0,32412.782275,299
1691020800000,2023-08-03,WINBRL,0.000324,0.000333,0.000323,0.000332,83939146.0,27631.305166,225
1690934400000,2023-08-02,WINBRL,0.00033,0.000336,0.000321,0.000326,206243239.0,68482.331501,273
1690848000000,2023-08-01,WINBRL,0.000326,0.000332,0.000321,0.000329,72814873.0,23744.81798,249
1690761600000,2023-07-31,WINBRL,0.000333,0.000336,0.000324,0.000326,66317863.0,21878.970875,203
1690675200000,2023-07-30,WINBRL,0.000343,0.000345,0.00033,0.000333,50442364.0,17020.655224,210
1690588800000,2023-07-29,WINBRL,0.000341,0.000345,0.000338,0.000342,48442886.0,16519.872525,208
1690502400000,2023-07-28,WINBRL,0.00034,0.000357,0.000336,0.000341,218896203.0,76367.415092,290
1690416000000,2023-07-27,WINBRL,0.000326,0.000341,0.000323,0.000338,83987486.0,27971.7612,214
1690329600000,2023-07-26,WINBRL,0.000325,0.000327,0.000321,0.000325,31763261.0,10303.016392,168
1690243200000,2023-07-25,WINBRL,0.000322,0.00033,0.000319,0.000325,26054173.0,8437.628361,76
1690156800000,2023-07-24,WINBRL,0.000339,0.000339,0.000319,0.000322,138903352.0,45096.352676,211
1690070400000,2023-07-23,WINBRL,0.000339,0.000341,0.000336,0.000339,21412594.0,7258.365377,113
1689984000000,2023-07-22,WINBRL,0.000331,0.000355,0.000329,0.000336,677672843.0,229088.117519,556
1689897600000,2023-07-21,WINBRL,0.000332,0.000335,0.000328,0.00033,50718808.0,16823.691428,204
1689811200000,2023-07-20,WINBRL,0.000332,0.000339,0.00033,0.000332,36030576.0,12014.217604,200
